year,sex,Age,Prop
2007,Female,9,0.0487664151817439
2007,Male,9,0.029798545392249486
2007,Female,10,0.036894212475335086
2007,Male,10,0.032089625036566885
2007,Female,11,0.021580415148950267
2007,Male,11,0.011578534803935605
2007,Female,12,0.012294464222312231
2007,Male,12,0.008240612952449645
2007,Female,13,0.0061304383226104785
2007,Male,13,0.010142568311446956
2007,Female,14,0.008832741751778605
2007,Male,14,0.016201449722629713
2007,Female,15,0.001227474015270167
2007,Male,15,0.004485779665698546
2007,Female,16,0.001586586243002753
2007,Male,16,0.004849487798182135
2007,Female,17,0.0047658388489249795
2007,Male,17,0.005225749392622706
2007,Male,18,0.005519326941865508
2007,Female,19,0.008632150757134591
2007,Male,19,0.001328667982443904
2007,Female,20,0.004313993849262926
2007,Male,20,0.005182613876607624
2007,Female,21,0.0012321100193156084
2007,Male,21,0.0035303337564708305
2007,Female,22,0.0031712215287382447
2007,Male,22,0.005481301534276277
2007,Female,23,0.0027754573339669785
2007,Male,23,0.005728935140550351
2007,Female,24,0.0038580633242348435
2007,Male,24,0.00564729783575227
2007,Male,25,0.00423519904456389
2007,Female,26,0.0022183328417651593
2007,Male,26,0.0025607780017595123
2007,Female,27,0.0036916940539013835
2007,Male,27,0.004256193637911388
2007,Male,28,0.00539127450595825
2007,Male,29,0.002695994675501705
2007,Male,30,0.0012321100193156084
2007,Female,31,0.007989828933760722
2007,Male,31,0.019965611429738104
2008,Female,2,0.0014840832672988683
2008,Male,2,0.007327213714390302
2008,Female,3,0.016138510696079474
2008,Male,3,0.0072340110922862605
2008,Female,4,0.0233498496593753
2008,Male,4,0.024445426748256244
2008,Female,5,0.045452119695207176
2008,Male,5,0.04262338120144626
2008,Female,6,0.05707099755910513
2008,Male,6,0.053394353582106036
2008,Female,7,0.05793075414144869
2008,Male,7,0.05553825496861471
2008,Female,8,0.08045216682822533
2008,Male,8,0.05821818908897757
2008,Female,9,0.059217714502510795
2008,Male,9,0.044971826487365724
2008,Female,10,0.03098574803795481
2008,Male,10,0.05181298867150841
2008,Female,11,0.028715070011890605
2008,Male,11,0.024050865483608998
2008,Female,12,0.022682969826710836
2008,Male,12,0.008052185706757998
2008,Female,13,0.008565491979238496
2008,Male,13,0.016916423497035215
2008,Female,14,0.004757481776402101
2008,Male,14,0.01055879820692493
2008,Female,15,0.0046748842059228055
2008,Male,15,0.005962703586785574
2008,Female,16,0.0062427285248067114
2008,Male,16,0.006335138669511834
2008,Female,17,0.0047623794786803494
2008,Male,17,0.005211729753182104
2008,Female,18,0.006727847638622614
2008,Male,18,0.011730920792336591
2008,Female,19,0.002803730915177058
2008,Male,19,0.005433741608110213
2008,Female,20,0.002745413436283975
2008,Male,20,0.007109507597041887
2008,Female,21,0.0016757659889316742
2008,Male,21,0.009484825246116354
2008,Female,22,7.905503279664549e-4
2008,Male,22,0.007325731227618997
2008,Female,23,0.004315240737758501
2008,Male,23,0.005540772756085229
2008,Female,24,0.0012916593022804096
2008,Male,24,0.0015743833113901803
2008,Male,25,0.003737660245224211
2008,Female,26,6.577712114994295e-4
2008,Male,26,0.005840185249425403
2008,Female,27,0.0012916593022804096
2008,Male,27,0.0049168558049919224
2008,Male,28,0.002466316316898129
2008,Female,29,0.0012916593022804096
2008,Male,29,0.002466316316898129
2008,Female,30,0.002466316316898129
2008,Male,30,0.002466316316898129
2008,Female,31,0.011082474632362189
2008,Male,31,0.0176299374490077
2009,Female,2,0.002634253903006391
2009,Male,2,0.005588508979410063
2009,Female,3,0.008698378608885908
2009,Male,3,0.012978824475409096
2009,Female,4,0.02863286342555035
2009,Male,4,0.03735163824060796
2009,Female,5,0.03475413373449832
2009,Male,5,0.022082942154398412
2009,Female,6,0.04840601603950444
2009,Male,6,0.05609257881751761
2009,Female,7,0.047123662708862944
2009,Male,7,0.052474717093524935
2009,Female,8,0.07179295488485042
2009,Male,8,0.06117501817872239
2009,Female,9,0.05983815253763346
2009,Male,9,0.04610881594393193
2009,Female,10,0.048419603705887625
2009,Male,10,0.054751523313421535
2009,Female,11,0.019653117162402322
2009,Male,11,0.015201981501077662
2009,Female,12,0.01761052473237938
2009,Male,12,0.019026648035772486
2009,Female,13,0.01871951274354843
2009,Male,13,0.01385058468775103
2009,Female,14,0.015335712938954808
2009,Male,14,0.007910879841649147
2009,Female,15,0.00929011514781876
2009,Male,15,0.009184021046222075
2009,Female,16,0.008635407236678225
2009,Male,16,0.005375845120692017
2009,Female,17,0.012751390960062682
2009,Male,17,0.009526427723652642
2009,Female,18,0.0016500772739666044
2009,Male,18,0.006056241350757364
2009,Female,19,0.005086463683680644
2009,Male,19,0.004382349074842914
2009,Female,20,0.003534294386918749
2009,Male,20,0.006092915970168474
2009,Female,21,0.0031277499265151922
2009,Male,21,0.0032644792852469413
2009,Female,22,0.0020990504241920884
2009,Male,22,0.004072268610625652
2009,Female,23,0.0030643963211048077
2009,Male,23,0.004048855083823262
2009,Female,24,0.0024174257727093093
2009,Male,24,0.006050423236418458
2009,Female,25,7.068588773837498e-4
2009,Male,25,0.0031342053592730798
2009,Female,26,0.0031110533264338577
2009,Male,26,0.0018173975255475138
2009,Female,27,0.0011237699718229654
2009,Male,27,0.003378641056901104
2009,Female,28,0.0032744418585831554
2009,Male,28,0.0020589892530475983
2009,Female,29,0.0025593223718780164
2009,Male,29,0.0014004864311082982
2009,Female,30,0.0018306288492067149
2009,Male,30,0.0026251251741883043
2009,Female,31,0.01385627003523153
2009,Male,31,0.02319906388413828
2010,Female,2,0.010667072969562569
2010,Male,2,0.02310540803282099
2010,Female,3,0.016960045990166837
2010,Male,3,0.010482751105780761
2010,Female,4,0.02287649285609477
2010,Male,4,0.021320776508260964
2010,Female,5,0.04069552911772725
2010,Male,5,0.028694276475612224
2010,Female,6,0.0455723996863898
2010,Male,6,0.037061198462296614
2010,Female,7,0.03551607925157674
2010,Male,7,0.03955490983407525
2010,Female,8,0.043678403949078154
2010,Male,8,0.0545827467252312
2010,Female,9,0.042525432408302886
2010,Male,9,0.04403116211324072
2010,Female,10,0.0398051370985275
2010,Male,10,0.03485076323315817
2010,Female,11,0.04934464780644365
2010,Male,11,0.03630243792446297
2010,Female,12,0.02073481231658125
2010,Male,12,0.03276475465165468
2010,Female,13,0.016196623314743034
2010,Male,13,0.016464948465703275
2010,Female,14,0.01914192759471346
2010,Male,14,0.014799860977598181
2010,Female,15,0.010992910017242405
2010,Male,15,0.01515970199388478
2010,Female,16,0.008278833766016284
2010,Male,16,0.00486802233285556
2010,Female,17,0.004548533533913408
2010,Male,17,0.007922176016829383
2010,Female,18,0.002411714766041053
2010,Male,18,0.007865804575184793
2010,Female,19,0.0025386138544468157
2010,Male,19,0.008809684820705717
2010,Female,20,0.008633847353132535
2010,Male,20,0.002756804240065015
2010,Female,21,0.0023934043820604115
2010,Male,21,0.006038469116721758
2010,Female,22,0.0055170837584605755
2010,Male,22,0.0023487208167242155
2010,Female,23,0.006049405302310154
2010,Male,23,0.009241493337626005
2010,Female,24,0.003945268110084785
2010,Male,24,7.971549835973695e-4
2010,Female,25,0.001608847177947307
2010,Male,25,0.01224141465082436
2010,Female,26,0.001223250896021283
2010,Male,26,0.0031863754308194747
2010,Female,27,0.0017221465325339752
2010,Male,27,0.0023487208167242155
2010,Female,28,0.0015515658331268463
2010,Male,28,0.006035151318316974
2010,Female,29,0.002134581441706524
2010,Male,29,0.0029519862405528387
2010,Female,30,0.0027346003254096274
2010,Female,31,0.020372276460549277
2010,Male,31,0.02304083692776031
2011,Female,2,0.011349299780190189
2011,Male,2,0.004913489939729947
